Package                         Current   Wanted   Latest  Location                                    Depended by
@capacitor-firebase/messaging     8.1.0    8.3.0    8.3.0  node_modules/@capacitor-firebase/messaging  updock-app
@capacitor/android                8.0.0    8.4.2    8.4.2  node_modules/@capacitor/android             updock-app
@capacitor/app                    8.0.1    8.1.1    8.1.1  node_modules/@capacitor/app                 updock-app
@capacitor/cli                    8.2.0    8.4.2    8.4.2  node_modules/@capacitor/cli                 updock-app
@capacitor/core                   8.0.0    8.4.2    8.4.2  node_modules/@capacitor/core                updock-app
@capacitor/geolocation            8.1.0    8.2.0    8.2.0  node_modules/@capacitor/geolocation         updock-app
@capacitor/ios                    8.0.0    8.4.2    8.4.2  node_modules/@capacitor/ios                 updock-app
@capacitor/share                  8.0.0    8.0.1    8.0.1  node_modules/@capacitor/share               updock-app
@capacitor/toast                  8.0.0    8.0.1    8.0.1  node_modules/@capacitor/toast               updock-app
@eslint/js                       9.39.1   9.39.5   10.0.1  node_modules/@eslint/js                     updock-app
@supabase/supabase-js            2.87.2  2.110.9  2.110.9  node_modules/@supabase/supabase-js          updock-app
@tailwindcss/postcss             4.1.17    4.3.3    4.3.3  node_modules/@tailwindcss/postcss           updock-app
@types/mapbox-gl                 2.7.13   2.7.21    3.4.1  node_modules/@types/mapbox-gl               updock-app
@types/node                     24.10.1  24.13.3   26.1.2  node_modules/@types/node                    updock-app
@types/react                     19.2.7  19.2.17  19.2.17  node_modules/@types/react                   updock-app
@vitejs/plugin-react              5.1.2    5.2.0    6.0.4  node_modules/@vitejs/plugin-react           updock-app
autoprefixer                    10.4.22   10.5.4   10.5.4  node_modules/autoprefixer                   updock-app
eslint                           9.39.1   9.39.5   10.8.0  node_modules/eslint                         updock-app
eslint-plugin-react-hooks         7.0.1    7.1.1    7.1.1  node_modules/eslint-plugin-react-hooks      updock-app
eslint-plugin-react-refresh      0.4.24   0.4.26    0.5.3  node_modules/eslint-plugin-react-refresh    updock-app
firebase                        12.11.0  12.16.0  12.16.0  node_modules/firebase                       updock-app
framer-motion                  12.23.25  12.43.0  12.43.0  node_modules/framer-motion                  updock-app
globals                          16.5.0   16.5.0   17.8.0  node_modules/globals                        updock-app
lucide-react                    0.556.0  0.556.0   1.27.0  node_modules/lucide-react                   updock-app
mapbox-gl                        2.15.0   2.15.0   3.27.0  node_modules/mapbox-gl                      updock-app
react                            19.2.1   19.2.8   19.2.8  node_modules/react                          updock-app
react-dom                        19.2.1   19.2.8   19.2.8  node_modules/react-dom                      updock-app
react-map-gl                      7.1.7    7.1.9    8.1.1  node_modules/react-map-gl                   updock-app
tailwindcss                      4.1.17    4.3.3    4.3.3  node_modules/tailwindcss                    updock-app
typescript                        5.9.3    5.9.3    7.0.2  node_modules/typescript                     updock-app
typescript-eslint                8.49.0   8.65.0   8.65.0  node_modules/typescript-eslint              updock-app
vite                              7.2.7    7.3.6    8.1.5  node_modules/vite                           updock-app
